"",,Veränderung,Index
Jahr,in Euro,,
"",,gg. Vj,1990=100
1991,26.245,"7,0 %","107,0"
1992,27.690,"5,5 %","112,9"
1993,28.770,"3,9 %","117,3"
1994,28.770,0 %,"117,3"
1995,30.035,"4,4 %","122,4"
1996,31.625,"5,3 %","128,9"
1997,31.880,"0,8 %","129,9"
1998,32.515,"2,0 %","132,5"
1999,33.870,"4,2 %","138,1"
2000,34.430,"1,7 %","140,3"
2001,35.080,"1,9 %","143,0"
2002,36.365,"3,7 %","148,3"
2003,37.115,"2,1 %","151,3"
2004,37.815,"1,9 %","154,2"
2005,38.533,"1,9 %","157,1"
2006,39.420,"2,3 %","160,7"
2007,40.957,"3,9 %","167,0"
2008,42.268 / 40.275**,"3,2 %/ –","172,3 /  164,2**"
2009,41.564,"2,9 %","169,0"
2010,42.104,"1,3 %","171,2"
2011,42.656,"1,3 %","173,4"
2012,44.106,"3,4 %","179,3"
2013,45.412,"3,0 %","184,6"
2014,46.887,"3,3 %","190,6"
2015,48.575,"3,6 %","197,4"
2016,49.615,"2,1 %","201,7"
2017,50.940,"2,7 %","207,1"
2018,52.957,"3,9 %","215,3"
2019,54.959,"3,8%","223,4"
2020,55.288,"0,6%","224,7"
2021,55.438,"0,26%","225,3"
